> [28.08.2025 20:32:44] | [Log]    Created new window
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:47] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:48] | [Info]    resized
> [28.08.2025 20:32:50] | [Info]    Closing the window
